0.92051,0.86988
1.9395,1.9379
1.1359,1.6123
1.1387,1.6474
1.1387,1.6509
1.1857,1.6684
1.1968,1.6684
1.2327,1.6544
1.2465,1.6368
1.2604,1.5842
1.2355,1.5246
1.194,1.4719
1.1857,1.4614
1.1415,1.4825
1.1276,1.5211
1.1083,1.5526
1.0862,1.5842
1.1083,1.6158
1.1111,1.6333
1.1387,1.5982
1.1415,1.5842
1.194,1.6053
1.1553,1.6228
1.2106,1.6018
1.2161,1.5596
1.1747,1.5491
1.1581,1.5491
1.1774,1.514
1.1995,1.514
1.2244,1.5175
1.241,1.5667
1.2382,1.6088
1.2106,1.6298
1.1719,1.6298
1.1802,1.5667
1.194,1.5561
1.2078,1.5281
1.1885,1.4579
1.1553,1.4579
1.1249,1.4649
1.1055,1.4754
1.0972,1.5456
1.1359,1.6649
1.1553,1.686
1.1829,1.6649
1.241,1.6193
1.2742,1.514
1.2687,1.507
1.2465,1.486
1.23,1.4649
1.2659,1.5421
1.3184,1.1246
1.3184,1.1246
1.3599,1.1281
1.371,1.1281
1.3986,1.1491
1.4456,1.1667
1.4622,1.1702
1.4871,1.1772
1.5258,1.1842
1.5424,1.1912
1.5645,1.1912
1.5756,1.1947
1.5839,1.2088
1.6032,1.2333
1.6364,1.2579
1.6668,1.2754
1.7332,1.2825
1.7719,1.286
1.7995,1.293
1.8078,1.293
1.7111,1.2614
1.6751,1.2368
1.6668,1.2298
1.653,1.2158
1.6668,1.2053
1.6806,1.1982
1.6889,1.1877
1.6889,1.1772
1.6668,1.1596
1.6226,1.1421
1.5977,1.1211
1.5977,1.1105
1.6005,1.0825
1.6005,1.0579
1.606,1.0263
1.6336,1.0088
1.6696,0.99123
1.7,0.98421
1.7166,0.97719
1.747,0.97719
1.7719,0.97719
1.7194,1.0158
1.7194,1.0158
1.7166,1.0474
1.7249,1.0684
1.7442,1.0754
1.7719,1.086
1.8244,1.1246
1.8244,1.093
1.7608,1.114
1.8051,1.0684
1.7968,1.0404
1.7581,1.0404
1.7359,1.0333
1.7194,1.0895
1.7111,1.1316
1.7415,1.1246
1.7857,1.1211
1.8106,1.114
1.7719,0.9807
1.7719,0.97018
1.7636,0.95263
1.7359,0.94211
1.7166,0.94211
1.7194,0.93158
1.7249,0.92456
1.7276,0.91404
1.7083,0.87193
1.6641,0.90702
1.6558,0.9386
1.6502,0.9386
1.6972,0.95263
1.6475,0.95263
1.6364,0.96316
1.6198,0.97368
1.6143,0.99123
1.6143,0.99825
1.6005,1.0053
1.5783,1.0123
1.5507,1.0123
1.5369,1.0123
1.5009,1.0193
1.4871,1.0228
1.4622,1.0263
1.429,1.0263
1.4124,1.0333
1.3737,1.0368
1.3323,1.0368
1.3101,1.0368
1.2935,1.0404
1.2576,1.0474
1.2438,1.0509
1.2327,1.0509
1.2106,1.0333
1.1995,1.0193
1.1912,1.0123
1.1747,1.0368
1.1885,1.0754
1.1885,1.0754
1.194,1.107
1.2161,1.1456
1.241,1.1456
1.2576,1.1456
1.2714,1.1456
1.2853,1.1351
1.324,1.1316
1.3433,1.1491
1.3903,1.1491
1.4152,1.1632
1.4456,1.1702
1.2189,1.0789
1.2244,1.093
1.2548,1.0965
1.2963,1.0965
1.3184,1.0895
1.277,1.0789
1.3848,1.0719
1.3903,1.0719
1.3627,1.114
1.3544,1.0965
1.3516,1.0789
1.4235,1.1
1.4429,1.1105
1.3931,1.114
1.4677,1.114
1.4733,1.1386
1.4318,1.1351
1.5369,1.1281
1.5175,1.1035
1.4373,1.093
1.4318,1.0825
1.4816,1.0719
1.5175,1.0614
1.5562,1.0614
1.5756,1.1
1.5783,1.1632
1.6032,1.1877
1.6336,1.1947
1.6392,1.1982
1.6447,1.1702
1.6032,1.1526
1.5479,1.7491
1.5424,1.7105
1.5396,1.6719
1.5341,1.6298
1.5396,1.5772
1.5562,1.5351
1.5811,1.5105
1.606,1.4965
1.6613,1.4825
1.7055,1.4825
1.7387,1.5
1.7608,1.5316
1.7885,1.5772
1.794,1.6263
1.7912,1.6825
1.7664,1.7281
1.7442,1.7456
1.6972,1.7667
1.6475,1.7737
1.6143,1.7737
1.5839,1.7702
1.6005,1.714
1.5811,1.6579
1.5728,1.6018
1.6032,1.5667
1.6253,1.5421
1.6696,1.5316
1.7111,1.5491
1.7221,1.5632
1.7221,1.6263
1.7221,1.6614
1.7028,1.693
1.6862,1.7035
1.6585,1.7
1.6475,1.686
1.6253,1.5982
1.6447,1.5737
1.6779,1.5702
1.6834,1.6018
1.6889,1.6263
1.6668,1.6368
1.6253,1.6368
1.6143,1.6754
1.6447,1.7351
1.7498,1.7105
1.7498,1.6895
1.7498,1.6404
1.747,1.6053
1.7304,1.5632
1.8797,1.9596
1.9461,1.6088
1.4567,1.9281
1.3737,1.7211
1.2161,1.9035
0.85945,1.9421
0.94516,1.7877
0.97558,1.5491
0.87327,1.3105
1.0558,1.3772
0.90369,0.99474
1.382,0.95614
1.5341,0.84035
1.6032,0.89649
1.3157,1.286
1.4871,1.4228
